Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,sqr_Annual Income,sqrt_Annual Income,sqr_Tax Liens,sqrt_Tax Liens,sqr_Number of Open Accounts,sqrt_Number of Open Accounts,sqr_Years of Credit History,sqrt_Years of Credit History,sqr_Maximum Open Credit,sqrt_Maximum Open Credit,sqr_Number of Credit Problems,sqrt_Number of Credit Problems,sqr_Months since last delinquent,sqrt_Months since last delinquent,sqr_Bankruptcies,sqrt_Bankruptcies,sqr_Current Loan Amount,sqrt_Current Loan Amount,sqr_Current Credit Balance,sqrt_Current Credit Balance,sqr_Monthly Debt,sqrt_Monthly Debt,sqr_Credit Score,sqrt_Credit Score,Term_bin,Years in current job_1 year,Years in current job_10more years,Years in current job_2 years,Years in current job_3 years,Years in current job_4 years,Years in current job_5 years,Years in current job_6 years,Years in current job_7 years,Years in current job_8 years,Years in current job_9 years,Years in current job_less 1 year,Purpose_business loan,Purpose_buy a car,Purpose_buy house,Purpose_debt consolidation,Purpose_educational expenses,Purpose_home improvements,Purpose_major purchase,Purpose_medical bills,Purpose_moving,Purpose_other,Purpose_renewable energy,Purpose_small business,Purpose_take a trip,Purpose_vacation,Purpose_wedding,Term_Long Term,Term_Short Term,Id
Home Mortgage,933432.0,10+ years,0.0,8.0,14.0,443608.0,0.0,34.69260017548991,0.0,debt consolidation,Short Term,337766.0,315305.0,19446.0,706.0,0,871295298624.0,966.1428465811875,0.0,0.0,64.0,2.8284271247461903,196.0,3.7416573867739413,196788057664.0,666.039037894927,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,114085870756.0,581.1763931888494,99417243025.0,561.5202578714325,378146916.0,139.44891537763928,498436.0,26.570660511172846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12
Rent,2066364.0,10+ years,0.0,11.0,17.7,1654026.0,0.0,34.69260017548991,0.0,debt consolidation,Long Term,549780.0,1037077.0,21869.0,728.0,1,4269860180496.0,1437.485304272708,0.0,0.0,121.0,3.3166247903554,313.28999999999996,4.207136793592526,2735802008676.0,1286.0894214633756,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,302258048400.0,741.4715099044602,1075528703929.0,1018.3697756709004,478253161.0,147.8817094843037,529984.0,26.981475126464083,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13
Own Home,2258796.0,7 years,0.0,11.0,17.7,1602546.0,0.0,34.69260017548991,0.0,other,Short Term,185262.0,1374327.0,58352.0,748.0,0,5102159369616.0,1502.9291400461966,0.0,0.0,121.0,3.3166247903554,313.28999999999996,4.207136793592526,2568153682116.0,1265.91705889446,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,34322008644.0,430.42072440810745,1888774702929.0,1172.3169366685786,3404955904.0,241.561586350148,559504.0,27.349588662354687,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14
Rent,848464.0,10+ years,0.0,9.0,18.4,296186.0,0.0,34.69260017548991,0.0,debt consolidation,Short Term,145134.0,41439.0,12939.0,727.0,0,719891159296.0,921.1210561050051,0.0,0.0,81.0,3.0,338.55999999999995,4.2895221179054435,87726146596.0,544.2297309041468,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,21063877956.0,380.9645652813395,1717190721.0,203.56571420551154,167417721.0,113.74972527439353,528529.0,26.962937525425527,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15
Rent,1366391.7201749957,7 years,0.0,6.0,17.8,899492.0,0.0,34.69260017548991,0.0,debt consolidation,Long Term,313038.0,538346.0,18844.0,1151.0874978966851,1,1867026332962.7837,1168.9275940685957,0.0,0.0,36.0,2.449489742783178,316.84000000000003,4.219004621945797,809085858064.0,948.415520750267,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,97992789444.0,559.4979892725263,289816415716.0,733.7206552905541,355096336.0,137.27344972717776,1325002.427814051,33.927680408431776,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16
Home Mortgage,3361898.0,3 years,0.0,14.0,28.5,1042096.0,0.0,34.69260017548991,0.0,debt consolidation,Long Term,498872.0,689396.0,52249.0,644.0,1,11302358162404.0,1833.5479268347474,0.0,0.0,196.0,3.7416573867739413,812.25,5.338539126015656,1085964073216.0,1020.831034011016,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,248873272384.0,706.3087143735379,475266844816.0,830.2987414178104,2729958001.0,228.58040160958683,414736.0,25.37715508089904,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17
Home Mortgage,1401744.0,2 years,0.0,9.0,29.0,387222.0,0.0,40.0,0.0,debt consolidation,Long Term,553586.0,201989.0,13434.0,695.0,1,1964886241536.0,1183.9527017579715,0.0,0.0,81.0,3.0,841.0,5.385164807134504,149940877284.0,622.2716448625954,0.0,0.0,1600.0,6.324555320336759,0.0,0.0,306457459396.0,744.033601391765,40799556121.0,449.4318635788967,180472356.0,115.90513362228612,483025.0,26.362852652928137,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18
Rent,1020072.0,2 years,0.0,6.0,12.5,199078.0,0.0,34.69260017548991,0.0,debt consolidation,Short Term,309672.0,120517.0,14451.0,712.0,1,1040546885184.0,1009.9861385187422,0.0,0.0,36.0,2.449489742783178,156.25,3.5355339059327378,39632050084.0,446.1815773875026,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,95896747584.0,556.4818056324932,14524347289.0,347.1555847167088,208831401.0,120.21231218140677,506944.0,26.68332812825267,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19
Home Mortgage,1651993.0,10+ years,0.0,11.0,26.5,663894.0,0.0,44.0,0.0,debt consolidation,Long Term,585090.0,252852.0,8742.0,697.0,0,2729080872049.0,1285.2987979454426,0.0,0.0,121.0,3.3166247903554,702.25,5.1478150704935,440755243236.0,814.7969072106251,0.0,0.0,1936.0,6.6332495807108,0.0,0.0,342330308100.0,764.9117596167547,63934133904.0,502.8439121636057,76422564.0,93.4986630920464,485809.0,26.40075756488817,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20
Home Mortgage,1047394.0,6 years,0.0,7.0,34.4,401104.0,0.0,45.0,0.0,debt consolidation,Short Term,324852.0,183597.0,7786.0,719.0,1,1097034191236.0,1023.4226888241242,0.0,0.0,49.0,2.6457513110645907,1183.36,5.865151319446072,160884418816.0,633.3277192733633,0.0,0.0,2025.0,6.708203932499369,0.0,0.0,105528821904.0,569.9578931815928,33707858409.0,428.4822049980606,60621796.0,88.23831367382311,516961.0,26.814175355583846,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21
Rent,463790.0,10+ years,0.0,6.0,28.3,288442.0,0.0,34.69260017548991,0.0,debt consolidation,Short Term,99999999.0,157700.0,5063.0,738.0,0,215101164100.0,681.0212918844755,0.0,0.0,36.0,2.449489742783178,800.89,5.319774431308154,83198787364.0,537.0679659037578,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,9999999800000000.0,9999.99995,24869290000.0,397.1145930332956,25633969.0,71.15476090888086,544644.0,27.16615541441225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22
Own Home,1366391.7201749957,10+ years,0.0,17.0,14.8,700040.0,0.0,17.0,0.0,debt consolidation,Short Term,174878.0,168074.0,17132.0,1151.0874978966851,1,1867026332962.7837,1168.9275940685957,0.0,0.0,289.0,4.123105625617661,219.04000000000002,3.847076812334269,490056001600.0,836.6839307647781,0.0,0.0,289.0,4.123105625617661,0.0,0.0,30582314884.0,418.1841699538614,28248869476.0,409.9682914567906,293505424.0,130.8892661756494,1325002.427814051,33.927680408431776,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23
Own Home,1366391.7201749957,10+ years,0.0,12.0,25.0,1216336.0,0.0,61.0,0.0,debt consolidation,Short Term,467676.0,818311.0,37530.0,1151.0874978966851,0,1867026332962.7837,1168.9275940685957,0.0,0.0,144.0,3.4641016151377544,625.0,5.0,1479473264896.0,1102.8762396570162,0.0,0.0,3721.0,7.810249675906654,0.0,0.0,218720840976.0,683.8684083944805,669632892721.0,904.6054388516576,1408500900.0,193.72661149155527,1325002.427814051,33.927680408431776,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24
Rent,1353142.0,10+ years,0.0,3.0,29.8,1231912.0,0.0,34.69260017548991,0.0,other,Short Term,108042.0,1036279.0,22225.0,720.0,0,1830993272164.0,1163.246319572944,0.0,0.0,9.0,1.7320508075688772,888.0400000000001,5.458937625582473,1517607175744.0,1109.9153120846654,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,11673073764.0,328.6974292567558,1073874165841.0,1017.9778975989607,493950625.0,149.08051515875573,518400.0,26.832815729997478,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25
Home Mortgage,951425.0,2 years,0.0,20.0,15.8,748880.0,0.0,34.69260017548991,0.0,other,Short Term,66110.0,285874.0,17046.0,742.0,0,905209530625.0,975.41017013357,0.0,0.0,400.0,4.47213595499958,249.64000000000001,3.9749213828703582,560821254400.0,865.378529893133,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,4370532100.0,257.1186496542015,81723943876.0,534.6718619863963,290566116.0,130.56033088193365,550564.0,27.23967694375247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,26
Rent,1004055.0,8 years,0.0,7.0,14.5,328394.0,0.0,34.69260017548991,0.0,debt consolidation,Short Term,99999999.0,195966.0,6041.0,734.0,0,1008126443025.0,1002.0254487786226,0.0,0.0,49.0,2.6457513110645907,210.25,3.8078865529319543,107842619236.0,573.0567162157687,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,9999999800000000.0,9999.99995,38402673156.0,442.6804716722887,36493681.0,77.72387020729218,538756.0,27.09243436828813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27
Home Mortgage,711094.0,10+ years,0.0,12.0,19.5,533808.0,0.0,34.69260017548991,0.0,debt consolidation,Short Term,155782.0,262314.0,13807.0,740.0,0,505654676836.0,843.2638970097083,0.0,0.0,144.0,3.4641016151377544,380.25,4.415880433163924,284950980864.0,730.621653114661,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,24268031524.0,394.6922852045629,68808634596.0,512.1659887185014,190633249.0,117.50319144601988,547600.0,27.202941017470888,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28
Rent,1366391.7201749957,10+ years,0.0,9.0,18.6,186494.0,0.0,6.0,0.0,debt consolidation,Short Term,357918.0,72808.0,22352.0,1151.0874978966851,1,1867026332962.7837,1168.9275940685957,0.0,0.0,81.0,3.0,345.96000000000004,4.312771730569565,34780012036.0,431.84951082524105,0.0,0.0,36.0,2.449489742783178,0.0,0.0,128105294724.0,598.2624841990345,5301004864.0,269.8295758437166,499611904.0,149.50585272824605,1325002.427814051,33.927680408431776,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29
Rent,612750.0,7 years,0.0,8.0,14.0,225016.0,1.0,34.69260017548991,1.0,debt consolidation,Short Term,99999999.0,147687.0,6128.0,719.0,0,375462562500.0,782.78349497163,0.0,0.0,64.0,2.8284271247461903,196.0,3.7416573867739413,50632200256.0,474.35851420629103,1.0,1.0,1203.5765069364024,5.890042459565967,1.0,1.0,9999999800000000.0,9999.99995,21811449969.0,384.30066354353335,37552384.0,78.2815431631237,516961.0,26.814175355583846,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30
Own Home,1289796.0,10+ years,0.0,11.0,20.5,845548.0,0.0,34.69260017548991,0.0,debt consolidation,Long Term,99999999.0,640433.0,26549.0,708.0,0,1663573721616.0,1135.6918596168593,0.0,0.0,121.0,3.3166247903554,420.25,4.527692569068709,714951420304.0,919.5368399362801,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,9999999800000000.0,9999.99995,410154427489.0,800.2705792417962,704849401.0,162.93863875704866,501264.0,26.60826939130014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,31
Home Mortgage,1526840.0,10+ years,0.0,19.0,25.0,1303082.0,0.0,14.0,0.0,debt consolidation,Short Term,265188.0,495178.0,28247.0,726.0,1,2331240385600.0,1235.6536731625088,0.0,0.0,361.0,4.358898943540674,625.0,5.0,1698022698724.0,1141.5261714038797,0.0,0.0,196.0,3.7416573867739413,0.0,0.0,70324675344.0,514.9640764169866,245201251684.0,703.6888516951224,797893009.0,168.0684384410113,527076.0,26.94438717061496,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,32
Home Mortgage,1366391.7201749957,< 1 year,0.0,13.0,21.0,101464.0,0.0,11.0,0.0,other,Short Term,79464.0,60287.0,14003.0,1151.0874978966851,1,1867026332962.7837,1168.9275940685957,0.0,0.0,169.0,3.605551275463989,441.0,4.58257569495584,10294943296.0,318.5341425969907,0.0,0.0,121.0,3.3166247903554,0.0,0.0,6314527296.0,281.8935969475007,3634522369.0,245.53411168308162,196084009.0,118.33427229674419,1325002.427814051,33.927680408431776,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,33
Rent,1899050.0,3 years,0.0,6.0,10.2,802692.0,0.0,34.69260017548991,0.0,take a trip,Short Term,43978.0,550430.0,21839.0,722.0,0,3606390902500.0,1378.0602309042954,0.0,0.0,36.0,2.449489742783178,104.03999999999999,3.1937438845342623,644314446864.0,895.9308008992659,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,1934064484.0,209.70932263492722,302973184900.0,741.909698009131,476941921.0,147.78024225179766,521284.0,26.870057685088806,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,34
Rent,1366391.7201749957,< 1 year,0.0,9.0,31.4,1457104.0,0.0,32.0,0.0,buy a car,Short Term,155474.0,254201.0,7020.0,1151.0874978966851,0,1867026332962.7837,1168.9275940685957,0.0,0.0,81.0,3.0,985.9599999999999,5.60357029044876,2123152066816.0,1207.1056291808104,0.0,0.0,1024.0,5.656854249492381,0.0,0.0,24172164676.0,394.30191478104695,64618148401.0,504.18349834162564,49280400.0,83.78544026261365,1325002.427814051,33.927680408431776,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35
Home Mortgage,1366391.7201749957,6 years,0.0,8.0,14.5,409222.0,0.0,14.0,0.0,other,Long Term,667458.0,206758.0,18846.0,1151.0874978966851,1,1867026332962.7837,1168.9275940685957,0.0,0.0,64.0,2.8284271247461903,210.25,3.8078865529319543,167462645284.0,639.7046193361433,0.0,0.0,196.0,3.7416573867739413,0.0,0.0,445500181764.0,816.9810279314936,42748870564.0,454.70649874397003,355171716.0,137.2807342637706,1325002.427814051,33.927680408431776,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,36
Rent,1366391.7201749957,5 years,0.0,13.0,18.0,608652.0,0.0,34.69260017548991,0.0,debt consolidation,Short Term,122936.0,221825.0,10806.0,1151.0874978966851,1,1867026332962.7837,1168.9275940685957,0.0,0.0,169.0,3.605551275463989,324.0,4.242640687119285,370457257104.0,780.1615217376464,0.0,0.0,1203.5765069364024,5.890042459565967,0.0,0.0,15113260096.0,350.622303911203,49206330625.0,470.98301455572687,116769636.0,103.95191195932858,1325002.427814051,33.927680408431776,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37
Rent,1395645.0,6 years,0.0,15.0,17.6,1480182.0,0.0,75.0,0.0,debt consolidation,Short Term,120670.0,58805.0,10200.0,750.0,0,1947824966025.0,1181.3741998198539,0.0,0.0,225.0,3.872983346207417,309.76000000000005,4.1952353926806065,2190938753124.0,1216.6273052993674,0.0,0.0,5625.0,8.660254037844387,0.0,0.0,14561248900.0,347.3758771129625,3458028025.0,242.4974226667162,104040000.0,100.99504938362078,562500.0,27.386127875258307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,38
Home Mortgage,852017.0,7 years,3.0,12.0,7.6,337722.0,3.0,34.69260017548991,0.0,debt consolidation,Short Term,175384.0,160417.0,21868.0,727.0,1,725932968289.0,923.0476694082489,9.0,1.7320508075688772,144.0,3.4641016151377544,57.76,2.756809750418044,114056149284.0,581.1385376999189,9.0,1.7320508075688772,1203.5765069364024,5.890042459565967,0.0,0.0,30759547456.0,418.78872955226484,25733613889.0,400.52091081490363,478209424.0,147.87832836490952,528529.0,26.962937525425527,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,39
Rent,709821.0,10+ years,0.0,13.0,23.7,339724.0,0.0,65.0,0.0,debt consolidation,Long Term,246004.0,198341.0,14670.0,670.0,1,503845852041.0,842.508753663723,0.0,0.0,169.0,3.605551275463989,561.6899999999999,4.868264577855234,115412396176.0,582.8584733878371,0.0,0.0,4225.0,8.06225774829855,0.0,0.0,60517968016.0,495.9879030782908,39339152281.0,445.3549146467343,215208900.0,121.11977542911809,448900.0,25.88435821108957,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,40
Rent,1350349.0,10+ years,0.0,20.0,15.0,763422.0,0.0,10.0,0.0,debt consolidation,Short Term,241230.0,306584.0,9014.0,721.0,0,1823442421801.0,1162.0451798445704,0.0,0.0,400.0,4.47213595499958,225.0,3.872983346207417,582813150084.0,873.7402359969466,0.0,0.0,100.0,3.1622776601683795,0.0,0.0,58191912900.0,491.15170772379486,93993749056.0,553.700279934912,81252196.0,94.94208761134337,519841.0,26.851443164195103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,41
